APOGEE_ID, P_knot, s_knot, P_bar, s_bar, P_disc, s_disc, X, Y, Z
b'2M16482343-2537260' , 0.0 , 0.0 , 0.0008735413923096878 , 0.0006002172542917026 , 0.9991264586026212 , 0.0003211676703653854 , -2.6782270097370526 , -0.45216839240877194 , 1.2609660762411217
b'2M16482863-2631413' , 0.0 , 0.0 , 0.08352610367927377 , 0.027577413298713743 , 0.9164738962903706 , 0.023522348242934532 , -2.2995633526476285 , -0.5576037505681964 , 1.2816517520711943
b'2M16483539-2641008' , 0.0 , 0.0 , 0.10776517119990499 , 0.07313329213397056 , 0.8922348283510892 , 0.05284013560204215 , -2.18625005906641 , -0.5797522449775511 , 1.2924710508276989
b'2M16483559-2652578' , 0.0 , 0.0 , 0.9536359016215468 , 0.016182583269093498 , 0.04636409836467566 , 0.03319599724636221 , -2.386942447867969 , -0.5772083250384068 , 1.2378543888568327
b'2M16490786-2605326' , 0.0 , 0.0 , 0.008040165336834736 , 0.006069432356559325 , 0.9919598346580409 , 0.0030677323430506886 , -2.151460698675227 , -0.5236157289342733 , 1.329302981785733
b'2M16495793-2636584' , 0.0 , 0.0 , 1.5896909198706155e-05 , 1.749762778964244e-05 , 0.9999841030534433 , 8.108154969432846e-06 , -2.892305693140834 , -0.4890788997106963 , 1.1266295971843565
b'2M16495829-2529516' , 0.0 , 0.0 , 2.083461989926863e-08 , 6.165210679787787e-08 , 0.9999999778083235 , 1.2133271387604339e-08 , -2.9239877133594723 , -0.40146872799876265 , 1.1868070039246519
b'2M16500018-2555075' , 0.0 , 0.0 , 0.00023493147871838277 , 0.0001813583491038151 , 0.9997650680833723 , 8.63412022489296e-05 , -2.0180449473143494 , -0.5058997847051336 , 1.3517331364055765
b'2M16501258-2534568' , 0.0 , 0.0 , 6.071513103089798e-06 , 9.56775420622755e-06 , 0.9999939284762812 , 3.419479357225086e-06 , -2.856885144553689 , -0.40973790242346475 , 1.1918709746513598
b'2M16501603-2640032' , 0.0 , 0.0 , 0.2512409177149856 , 0.0712421033799232 , 0.7467266794777445 , 0.0594633442684086 , -2.9471247902751676 , -0.4839609618363024 , 1.1072406121808662
b'2M16502077-2348447' , 0.0 , 0.0 , 0.9990035307366577 , 0.00047634638040039423 , 0.0009891181148624021 , 0.0008466120965125877 , -2.2586217404907076 , -0.3015627730296554 , 1.435756248234785
b'2M16502600-2610218' , 0.0 , 0.0 , 0.07990056164566228 , 0.02265185925794301 , 0.9196871808209539 , 0.018069437800190546 , -2.8703130550817884 , -0.4508469070746372 , 1.1495113159615502
b'2M16503493-2603596' , 0.0 , 0.0 , 0.9999787007742176 , 1.1731556941452226e-05 , 2.121935132183681e-05 , 2.481322591703388e-05 , -2.363422141090803 , -0.4818567147522299 , 1.2581218960499292
b'2M16505561-2629312' , 0.0 , 0.0 , 0.8777298037099099 , 0.025604659844032707 , 0.122270195974643 , 0.025360093419263013 , -2.6326581772877136 , -0.48909269655159365 , 1.1694151827652932
b'2M16515516-2423366' , 0.0 , 0.0 , 0.2216860256097205 , 0.06342028871072991 , 0.7779606152639208 , 0.054423685685347056 , -2.3912163133143034 , -0.32024038347175476 , 1.3357172284805132
b'2M16520324-2459442' , 0.0 , 0.0 , 0.11695884142892579 , 0.054891380753617686 , 0.8819742453990319 , 0.0465994447763487 , -2.4371425496834 , -0.3657452245404532 , 1.2839443799439294
b'2M16521079-4009211' , 0.0 , 0.0 , 0.01543976108856478 , 0.006111085468925071 , 0.9843343173895203 , 0.004625681632019263 , -1.5883181846388439 , -1.8587228547910404 , 0.33775277160054173
b'2M16522941-2130126' , 0.0 , 0.0 , 0.04139638161367944 , 0.03225170598157934 , 0.958460705726405 , 0.020331176057583167 , -2.152627134332957 , -0.07123910720336964 , 1.573971997824258
b'2M16523629-2442025' , 0.0 , 0.0 , 0.9895426682106834 , 0.0031624449490572637 , 0.010382639191873457 , 0.006169646157157711 , -2.3620464274836372 , -0.3374999034579354 , 1.3084978473998474
b'2M16523998-4018400' , 0.0 , 0.0 , 0.13091319567319176 , 0.026371238535912417 , 0.8690868043265696 , 0.02051610218664368 , -1.540845119544679 , -1.879651826780632 , 0.3191381539977741
