l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-30.252102  11.690664  6.6020  0.2219 -9.7177  0.0315 -0.0165  0.0327 -0.1614  -87.8740    0.3508  1.0000 -99.0000 -0.5173  0.3363 -99.0000 179.0000 2M15205044-4316033  
-30.047290  11.984760  5.6735  0.1214 -7.1253  0.0250 -2.6461  0.0256 -0.1666  -38.9304    0.3614  1.0000 -99.0000 -0.4203  0.3141 -99.0000 182.0000 2M15205205-4254422  
-29.557078  12.698021  4.5039  0.0697 -7.0445  0.0126  2.9754  0.0137 -0.1453   11.4914    0.3935  1.0000 -99.0000 -0.6668  0.3318 -99.0000 184.0000 2M15205358-4203095  
-33.602691   6.602522  6.4909  0.5869 -8.7025  0.0175 -4.6652  0.0194 -0.1038   84.2787    0.2131  1.0000 -99.0000 -0.5124  0.2483 -99.0000 185.0000 2M15205627-4920091  
-29.679616  12.494190  8.6967  2.0150 -5.8077  0.0174 -0.3670  0.0165 -0.2042 -175.5119    0.8960  1.0000 -99.0000 -0.4367  0.3064 -99.0000 186.0000 2M15205787-4217190  
-29.510886  12.697172  6.3017  0.1569 -6.3421  0.0279  0.5386  0.0332 -0.1407 -102.1320    0.4866  1.0000 -99.0000 -0.4144  0.3596 -99.0000 187.0000 2M15210586-4201422  
-29.879314  12.085568  8.0165  0.1187 -6.2332  0.0205 -1.8101  0.0212 -0.3717  -96.0218    0.2467  1.0000 -99.0000 -0.6527  0.3696 -99.0000 192.0000 2M15211860-4244128  
-34.271986   5.451901  5.9505  0.2434 -5.6491  0.0222  0.2496  0.0351 -0.0311 -119.7239    0.3379  1.0000 -99.0000 -0.2054  0.1764 -99.0000 194.0000 2M15212140-5039484  
-30.009471  11.791231  8.3336  0.2121 -8.3731  0.0329 -0.1754  0.0383 -0.0741  -41.7875    1.3768  1.0000 -99.0000 -0.2761  0.2991 -99.0000 199.0000 2M15213728-4303089  
-29.539090  12.469446  5.9612  0.2096 -8.7240  0.0299  0.8261  0.0319 -0.1853   93.9660    0.2670  1.0000 -99.0000 -0.5106  0.3580 -99.0000 200.0000 2M15213935-4213591  
-30.009653  11.774369  8.9787  2.8974 -9.8223  0.0275 -1.8480  0.0346 -0.1243 -103.1862    0.2770  1.0000 -99.0000  0.0853  0.1227 -99.0000 202.0000 2M15214030-4303598  
-33.955547   5.840485  7.8188  0.2146 -3.9457  0.0200  1.0899  0.0357 -0.0106  -69.7690    0.2975  1.0000 -99.0000 -0.5286  0.3351 -99.0000 203.0000 2M15214116-5009577  
-29.641493  12.306905  5.0177  0.4419 -2.4964  0.0154 -1.2891  0.0157 -0.2272  -61.3722    0.2713  1.0000 -99.0000 -0.0955  0.2023 -99.0000 204.0000 2M15214164-4225258  
-34.226436   5.420812  8.0553  0.6184 -5.9389  0.0276 -0.7565  0.0519  0.0017  -38.9483    0.4822  1.0000 -99.0000 -0.1262  0.1284 -99.0000 205.0000 2M15214222-5039533  
