l[deg]     b[deg]     dist[kpc] edist[kpc] pml[masyr] epml[masyr] pmb[masyr] epmb[masyr] pmlpmbcorr[] vlos[kms] evlos[kms] apogee[0,1] component[0,1] feh[dex] alpha[dex] age[]   index   apogeeID            
-30.739315  12.408616  5.4834  0.2332 -9.1427  0.0251  1.3313  0.0348 -0.4325  -32.6023    0.2703  1.0000 -99.0000 -0.4097  0.2922 -99.0000 81.0000 2M15163049-4255320  
-30.446349  12.817046  5.4511  0.0913 -5.6084  0.0230  1.0214  0.0280 -0.0901  -32.0229    0.2292  1.0000 -99.0000 -0.1883  0.1841 -99.0000 83.0000 2M15163710-4225387  
-34.502536   6.491073  7.5847  0.2805 -6.0144  0.0309 -1.8923  0.0265 -0.1687  -84.6941    0.3362  1.0000 -99.0000 -0.4150  0.3128 -99.0000 84.0000 2M15163908-4954362  
-30.888346  12.132116  5.7456  0.0767 -5.3291  0.0253 -1.4199  0.0264 -0.2602  -48.1575    0.2525  1.0000 -99.0000 -0.3409  0.2730 -99.0000 85.0000 2M15163914-4314130  
-30.912410  12.073778  6.0529  0.0944 -7.5820  0.0274 -3.2749  0.0254 -0.2206  -26.2019    0.2329  1.0000 -99.0000 -0.4957  0.3733 -99.0000 86.0000 2M15164298-4317555  
-34.560827   6.327032  6.0408  0.2418 -5.9179  0.0393 -2.3649  0.0485 -0.0673  -76.4600    0.2252  1.0000 -99.0000 -0.2271  0.2266 -99.0000 89.0000 2M15165324-5004474  
-30.882776  12.055426  7.3375  0.3537 -7.3984  0.0266  0.5549  0.0272 -0.2309  -32.3065    0.1729  1.0000 -99.0000 -0.1993  0.2412 -99.0000 90.0000 2M15165430-4317549  
-30.840627  12.095422  7.8749  0.3394 -7.6140  0.0280  0.8772  0.0320 -0.2733  -39.3403    0.3023  1.0000 -99.0000 -0.4015  0.3152 -99.0000 91.0000 2M15165862-4314337  
-30.287513  12.932848  5.5217  0.3543 -3.7155  0.0289 -2.7515  0.0400  0.0024 -112.1601    0.6433  1.0000 -99.0000 -0.7609  0.3443 -99.0000 92.0000 2M15165904-4214465  
-30.185746  13.007030  5.7813  0.3285 -3.7445  0.0285  0.0083  0.0298 -0.2403  -19.2539    0.5638  1.0000 -99.0000 -0.6727  0.3606 -99.0000 93.0000 2M15171300-4207486  
-30.471133  12.505119  9.6431  0.4892 -5.7328  0.0237 -0.8444  0.0239 -0.1994   -0.9476    0.7011  1.0000 -99.0000 -0.5015  0.2727 -99.0000 95.0000 2M15172549-4242101  
-30.549865  12.376022  5.0815  0.1971 -8.1386  0.0310  0.9932  0.0346 -0.2038 -103.4788    0.3866  1.0000 -99.0000 -0.2430  0.2731 -99.0000 96.0000 2M15172726-4251107  
-34.148210   6.805762  7.3150  0.3447 -7.3458  0.0238  0.4114  0.0276 -0.1072  -29.2162    1.8781  1.0000 -99.0000 -0.1201  0.2307 -99.0000 97.0000 2M15172757-4927231  
-30.267801  12.795795  6.9809  0.4486 -11.9423  0.0217  1.7949  0.0331 -0.0424   13.6369    0.2994  1.0000 -99.0000 -0.7718  0.3533 -99.0000 98.0000 2M15172842-4221034  
-34.298062   6.553416  6.2381  0.2956 -8.6652  0.0277  0.4887  0.0320 -0.0413  -58.5480    0.1240  1.0000 -99.0000  0.0272  0.1569 -99.0000 99.0000 2M15173076-4944572  
-30.348186  12.659193  5.2927  0.0868 -8.4031  0.0232  3.2327  0.0353 -0.1534  -36.3362    0.3177  1.0000 -99.0000 -0.2915  0.2741 -99.0000 100.0000 2M15173111-4230298  
-30.629865  12.166221  6.4003  0.2638 -9.3465  0.0332  0.9148  0.0438 -0.4413 -162.0680    0.3534  1.0000 -99.0000 -0.2337  0.3023 -99.0000 103.0000 2M15174302-4304179  
-34.287806   6.500282  7.6366  0.4736 -7.9654  0.0269 -2.9674  0.0236 -0.2253  -31.2087    0.3892  1.0000 -99.0000 -0.4948  0.3451 -99.0000 104.0000 2M15174449-4947195  
-30.166201  12.809349  4.9685  0.3914 -5.2382  0.0284 -0.9037  0.0312 -0.1128 -107.9295    0.7585  1.0000 -99.0000 -0.7641  0.3101 -99.0000 105.0000 2M15175299-4217087  
-30.569780  12.183028  6.7632  0.2392 -8.1673  0.0324  0.7832  0.0345 -0.2208  -56.0913    0.6875  1.0000 -99.0000 -0.3103  0.1893 -99.0000 106.0000 2M15175623-4301323  
-30.498320  12.245914  6.1799  0.2557 -7.3312  0.0193  2.3095  0.0201 -0.1071 -103.7519    2.7489  1.0000 -99.0000  0.0317  0.1546 -99.0000 107.0000 2M15180425-4256056  
-34.360728   6.250830  6.7517  0.3305 -2.8245  0.0278 -1.1894  0.0339 -0.1485   18.7802    0.3186  1.0000 -99.0000 -0.3077  0.3204 -99.0000 108.0000 2M15181134-5002180  
-30.214596  12.618856  5.6448  0.2801 -5.9118  0.0160  1.4516  0.0191 -0.2791  -75.3640    3.2238  1.0000 -99.0000 -0.6389  0.3273 -99.0000 109.0000 2M15181384-4228164  
-30.713347  11.849494  5.1827  0.1521 -5.2294  0.0239  0.6756  0.0261 -0.1762  -18.5337    0.2490  1.0000 -99.0000 -0.6501  0.3031 -99.0000 112.0000 2M15181708-4322550  
-30.504122  12.157187  4.6246  0.2826 -10.1209  0.0216 -4.6406  0.0218 -0.2741  -17.8784    0.7022  1.0000 -99.0000 -0.7024  0.3629 -99.0000 113.0000 2M15181852-4300445  
-30.567676  12.039866  7.0229  0.2754 -7.3005  0.0208  1.4406  0.0255 -0.1893  -52.3843    0.1939  1.0000 -99.0000 -0.4414  0.3495 -99.0000 115.0000 2M15182237-4308408  
-30.537908  12.030586  7.0397  0.6166 -8.0557  0.0202 -0.1989  0.0217 -0.2321  -60.5574    0.4404  1.0000 -99.0000 -0.6490  0.2695 -99.0000 118.0000 2M15183207-4308117  
-30.494796  12.085890  5.1020  0.1623 -1.1590  0.0323 -1.3782  0.0344 -0.1527    8.4587    0.3877  1.0000 -99.0000 -0.2896  0.2746 -99.0000 119.0000 2M15183377-4304020  
-30.638074  11.843926  5.7654  0.2432 -6.0202  0.0173 -0.3974  0.0221 -0.1838  -55.3660    0.2443  1.0000 -99.0000 -0.2557  0.2427 -99.0000 121.0000 2M15183849-4320474  
-33.998335   6.669663  6.1407  0.3414 -8.1730  0.0229 -1.2673  0.0340 -0.2113  -28.3061    0.2656  1.0000 -99.0000  0.2583  0.0498 -99.0000 123.0000 2M15184091-4929302  
-30.185016  12.466368  6.7376  0.3157 -3.5424  0.0304  0.3086  0.0286 -0.1415 -103.6164    0.3038  1.0000 -99.0000 -0.7981  0.2740 -99.0000 125.0000 2M15184882-4234596  
-30.537420  11.933463  5.7848  0.0820 -4.1148  0.0281 -2.3714  0.0297 -0.2868  -64.4352    0.2416  1.0000 -99.0000 -0.2710  0.2689 -99.0000 127.0000 2M15184962-4313039  
-34.514801   5.811479  5.2600  0.2656 -2.6061  0.0997 -2.0390  0.1294 -0.1083  -47.6033    0.2849  1.0000 -99.0000 -0.4427  0.2468 -99.0000 128.0000 2M15185113-5029290  
-34.108378   6.442478  7.3700  0.2896 -3.6406  0.0282 -0.8291  0.0354 -0.1827  -51.2953    0.4236  1.0000 -99.0000 -0.4642  0.2913 -99.0000 129.0000 2M15185193-4944315  
-34.546663   5.732511  7.6333  0.3601 -7.4529  0.0188 -1.1251  0.0297 -0.0716   68.2594    0.2684  1.0000 -99.0000 -0.4957  0.2369 -99.0000 132.0000 2M15185704-5034302  
-34.384452   5.980786  6.2020  0.3138 -5.3989  0.0541  1.1258  0.0755 -0.1068  -71.1292    0.2516  1.0000 -99.0000 -0.2610  0.1298 -99.0000 134.0000 2M15185810-5016442  
-34.340089   6.037302  8.1777  0.3793 -7.7789  0.0463  1.5148  0.0736 -0.1094  -59.6293    0.3557  1.0000 -99.0000 -0.5286  0.3791 -99.0000 136.0000 2M15190068-5012273  
-30.062269  12.536673  5.6981  0.2348 -6.1452  0.0181 -0.4689  0.0157 -0.2293  -94.1017    0.1835  1.0000 -99.0000 -0.3719  0.2943 -99.0000 138.0000 2M15190896-4227317  
-30.481303  11.887593  6.9366  0.3431 -1.4686  0.0164  0.0406  0.0242 -0.0521  -92.0325    0.5379  1.0000 -99.0000 -0.5594  0.3415 -99.0000 139.0000 2M15191302-4313344  
-30.440263  11.939693  5.8741  0.3878 -5.6460  0.0162 -2.6401  0.0233 -0.0486 -104.1915    0.6264  1.0000 -99.0000 -0.6377  0.2753 -99.0000 140.0000 2M15191471-4309381  
-30.011023  12.533042  6.2071  0.1409 -3.3649  0.0341 -2.9929  0.0323 -0.2641  -33.6139    0.3641  1.0000 -99.0000 -0.3524  0.2759 -99.0000 142.0000 2M15192322-4226039  
